player_id,player,college,conference,years,games_played,completions,passes_attempted,passing_yards,passing_touchdowns,interceptions,passer_rating,rushing_attempts,rushing_yards,rushing_touchdowns,wins,losses,highest_rank,conference_wins,conference_losses,points_for,points_against,years_missing,height,weight,age
2020-189,Jake Luton,62,10,5,32.0,494.0,795.0,5610.0,43.0,15.0,100.42,116.0,-131.0,6.0,13,46,999,9,34,1574,2369,0,78.13,224.0,24
2007-174,Troy Smith,58,4,4,43.0,420.0,670.0,5720.0,54.0,13.0,114.7,293.0,1168.0,14.0,41,9,1,25,7,1454,797,0,72.0,225.0,23
2006-49,Kellen Clemens,61,9,4,37.0,613.0,1005.0,7555.0,61.0,24.0,133.875,273.0,535.0,6.0,30,19,6,19,13,1469,1270,0,73.63,224.0,23
2007-92,Trent Edwards,74,9,4,35.0,487.0,865.0,5429.0,36.0,33.0,112.45,226.0,199.0,2.0,14,31,999,9,24,824,1271,0,76.13,231.0,23
2007-40,John Beck,7,8,4,43.0,885.0,1418.0,11021.0,79.0,34.0,135.025,267.0,38.0,9.0,26,22,16,20,10,1337,1147,0,74.13,215.0,26
2005-145,Dan Orlovsky,17,3,4,46.0,916.0,1567.0,10706.0,84.0,51.0,123.55,143.0,-285.0,6.0,25,22,999,3,3,1336,1200,0,77.0,225.0,22
2002-81,Josh McCown,68,13,3,30.0,340.0,664.0,4022.0,27.0,34.0,106.13333333333334,198.0,201.0,4.0,12,22,999,9,13,599,835,0,75.9,221.0,23
2022-74,Desmond Ridder,14,1,4,50.0,810.0,1304.0,10239.0,87.0,28.0,145.425,502.0,2179.0,28.0,44,7,2,29,4,1760,916,0,75.38,211.0,23
2014-3,Blake Bortles,13,1,3,37.0,585.0,891.0,7598.0,56.0,19.0,153.9333333333333,195.0,561.0,15.0,27,12,10,18,7,1271,806,0,77.0,232.0,22
2001-106,Chris Weinke,23,0,4,36.0,650.0,1107.0,9839.0,79.0,32.0,147.975,110.0,-366.0,2.0,45,5,1,31,1,1838,681,0,76.0,232.0,29
2011-152,T.J. Yates,53,0,4,45.0,795.0,1277.0,9377.0,58.0,46.0,134.525,220.0,-333.0,7.0,28,23,17,15,17,1252,1093,0,76.0,215.0,24
2016-201,Brandon Allen,5,11,4,42.0,583.0,1016.0,7463.0,64.0,26.0,118.475,135.0,133.0,4.0,22,28,8,9,23,1412,1340,0,73.38,217.0,24
2016-26,Paxton Lynch,43,1,3,38.0,758.0,1205.0,8863.0,59.0,23.0,135.16666666666666,288.0,687.0,17.0,22,16,15,13,11,1227,903,0,78.63,244.0,22
2004-90,Matt Schaub,92,0,4,40.0,716.0,1069.0,7502.0,56.0,26.0,130.575,132.0,58.0,5.0,28,23,15,18,14,1257,1236,0,77.6,243.0,23
2020-5,Tua Tagovailoa,1,11,3,33.0,474.0,684.0,7442.0,87.0,11.0,193.76666666666665,107.0,340.0,9.0,38,4,1,23,3,1817,680,0,72.0,217.0,22
2020-224,Cole McDonald,28,8,3,33.0,616.0,1004.0,8032.0,70.0,24.0,135.63333333333333,251.0,880.0,12.0,21,20,999,11,14,1212,1376,0,75.13,215.0,22
2006-223,D.J. Shockley,26,11,4,38.0,240.0,443.0,3555.0,34.0,9.0,128.025,154.0,643.0,7.0,44,9,3,27,8,1540,826,0,73.13,214.0,23
2015-250,Trevor Siemian,56,4,4,44.0,550.0,934.0,5931.0,27.0,24.0,130.625,142.0,-23.0,6.0,26,24,16,12,20,1378,1280,0,74.88,210.0,23
2019-15,Dwayne Haskins,58,4,2,22.0,413.0,590.0,5396.0,54.0,9.0,173.6,103.0,194.0,4.0,25,3,2,18,2,1169,623,0,75.38,231.0,22
2006-11,Jay Cutler,91,11,4,45.0,710.0,1242.0,8697.0,59.0,36.0,125.25,453.0,1256.0,17.0,11,35,999,5,27,967,1333,0,75.25,226.0,23
2008-223,Alex Brink,95,9,4,46.0,848.0,1451.0,10913.0,76.0,43.0,130.475,246.0,98.0,5.0,20,26,25,11,23,1246,1319,0,74.25,211.0,23
2018-199,Luke Falk,95,10,4,42.0,1404.0,2055.0,14486.0,119.0,39.0,142.225,251.0,-400.0,4.0,29,22,8,21,15,1681,1501,0,75.63,215.0,23
2014-164,A.J. McCarron,1,11,4,53.0,686.0,1026.0,9019.0,77.0,15.0,160.25,119.0,-50.0,3.0,46,7,1,28,6,1955,616,0,75.25,220.0,23
2005-24,Aaron Rodgers,12,9,2,25.0,424.0,665.0,5469.0,43.0,13.0,150.45,160.0,336.0,8.0,18,8,4,12,4,898,533,0,74.0,223.0,21
2018-1,Baker Mayfield,59,2,4,48.0,1026.0,1497.0,14607.0,131.0,30.0,174.075,404.0,1083.0,21.0,42,11,2,30,7,2234,1437,0,72.63,215.0,23
2010-176,Rusty Smith,21,12,4,45.0,768.0,1361.0,10112.0,76.0,36.0,129.475,115.0,-335.0,5.0,25,25,999,19,10,1241,1509,0,77.0,224.0,23
2005-229,James Kilian,86,13,4,37.0,410.0,758.0,4865.0,36.0,30.0,99.05,329.0,1083.0,19.0,14,34,999,10,22,1169,1563,0,75.25,218.0,24
2015-2,Marcus Mariota,61,10,3,41.0,779.0,1167.0,10796.0,105.0,14.0,170.86666666666665,337.0,2237.0,29.0,36,5,1,24,4,1917,901,0,75.75,222.0,21
2020-244,Nate Stanley,33,4,4,45.0,673.0,1155.0,8302.0,68.0,23.0,129.075,161.0,-104.0,2.0,35,17,13,21,15,1431,917,0,75.75,235.0,23
2002-3,Joey Harrington,61,9,4,31.0,445.0,813.0,6057.0,52.0,21.0,102.425,134.0,220.0,15.0,38,10,2,25,7,1646,1117,0,76.0,215.0,23
2011-1,Cam Newton,6,11,3,20.0,191.0,292.0,2908.0,30.0,7.0,124.8,285.0,1586.0,24.0,36,5,1,22,4,1740,849,0,77.0,248.0,22
2012-75,Russell Wilson,98,4,4,50.0,907.0,1489.0,11720.0,109.0,30.0,150.25,441.0,1421.0,23.0,31,21,4,18,15,1701,1259,0,70.63,204.0,23
2008-3,Matt Ryan,10,0,4,43.0,807.0,1347.0,9313.0,56.0,37.0,120.15,168.0,58.0,11.0,39,12,2,20,11,1340,883,0,76.75,228.0,23
2016-191,Jake Rudock,46,4,3,38.0,666.0,1080.0,7836.0,54.0,27.0,133.83333333333334,192.0,560.0,12.0,25,14,12,15,9,1117,792,0,75.0,207.0,23
2012-2,Robert Griffin III,9,2,4,41.0,800.0,1192.0,10366.0,78.0,17.0,154.64999999999998,528.0,2254.0,33.0,25,25,13,13,20,1579,1559,0,74.0,213.0,22
2000-234,Joe Hamilton,27,0,4,43.0,629.0,1020.0,8882.0,65.0,39.0,144.8,501.0,1758.0,18.0,30,17,7,21,11,1421,1188,0,70.3,192.0,23
2000-202,Todd Husak,74,9,4,36.0,465.0,872.0,6564.0,41.0,24.0,118.4,99.0,-136.0,3.0,23,23,16,17,15,1202,1275,0,75.1,216.0,22
2016-207,Jeff Driskel,40,5,5,42.0,609.0,1002.0,7444.0,50.0,28.0,119.42,312.0,972.0,14.0,38,25,3,23,17,1752,1307,0,76.0,234.0,23
2016-187,Nate Sudfeld,32,4,4,38.0,593.0,983.0,7879.0,61.0,20.0,143.075,135.0,132.0,8.0,19,30,999,8,24,1606,1772,0,78.13,234.0,22
2018-220,Alex McGough,22,5,4,46.0,806.0,1335.0,9091.0,65.0,37.0,126.675,308.0,535.0,16.0,21,28,999,15,17,1203,1444,0,75.38,214.0,22
